"","time","1","2","3","4","5","6","7","8","9","10","11","12","13","CTotal","CVen","CArt","CFat","CPoor","CRich","CLiver","CSkin_u","CSkin_e","CSkin_sc_u","CSkin_sc_e"
"11",10,2.26662001790651e-06,1.12581056012313e-06,0,0,0,1.09711605493286e-06,0,0,0,0,4.58547247853488e-05,0.0531877649149032,0.94676189081336,0.999999999999681,7.1427101404617e-07,7.09544470665838e-07,0,0,0,6.53045270793368e-07,0,0,0,0
"12",11,8.37135645837155e-07,4.15798012511511e-07,0,0,0,4.05200275669358e-07,0,0,0,0,1.69356443883485e-05,0.0531894765396527,0.946791929681706,0.999999999999681,2.63803249738599e-07,2.62057570910616e-07,0,0,0,2.4119064027938e-07,0,0,0,0
"13",12,3.19386235992266e-07,1.58636734011243e-07,0,0,0,1.54592411205133e-07,0,0,0,0,6.46101335898119e-06,0.053190096496411,0.946802809874527,0.999999999999678,1.00646923106807e-07,9.99811348810352e-08,0,0,0,9.20192923840075e-08,0,0,0,0
"14",13,1.25979456493182e-07,6.25726520933e-08,0,0,0,6.0978538088338e-08,0,0,0,0,2.54884456089618e-06,0.0531903280479203,0.946806873576537,0.999999999999664,3.9699408558776e-08,3.94365454369538e-08,0,0,0,3.62967488621059e-08,0,0,0,0
"15",14,4.65525390990977e-08,2.31224075842459e-08,0,0,0,2.25325968469919e-08,0,0,0,0,9.41633783309811e-07,0.0531904231712053,0.946808542987099,0.999999999999632,1.46699177833291e-08,1.45729459564575e-08,0,0,0,1.34122600279714e-08,0,0,0,0
"16",15,1.96646166587211e-08,9.76702822848473e-09,0,0,0,9.51870893037871e-09,0,0,0,0,3.98015176810441e-07,0.0531904553481916,0.946809107685913,0.999999999999635,6.19683298068942e-09,6.15569005996936e-09,0,0,0,5.66589817284447e-09,0,0,0,0
"17",16,1.6013245178445e-08,7.95338956546524e-09,0,0,0,7.75139399527873e-09,0,0,0,0,3.24176544955989e-07,0.0531904597186379,0.946809184386458,0.999999999999669,5.04619070749317e-09,5.01264048243608e-09,0,0,0,4.61392499718972e-09,0,0,0,0
"18",17,1.30696558546639e-08,6.49162259641703e-09,0,0,0,6.32605638494777e-09,0,0,0,0,2.64371486817182e-07,0.0531904632567889,0.946809246484141,0.999999999999752,4.11858902983106e-09,4.09135877925443e-09,0,0,0,3.7655097529451e-09,0,0,0,0
"19",18,5.47627463844379e-09,2.72005958963088e-09,0,0,0,2.65061228556809e-09,0,0,0,0,1.10750881612563e-07,0.0531904723490712,0.946809406052936,0.999999999999835,1.72571679782893e-09,1.71432327077576e-09,0,0,0,1.57774540807625e-09,0,0,0,0
"20",19,3.84224238503122e-11,1.90429056798309e-11,0,0,0,1.86757621385327e-11,0,0,0,0,8.13703452776526e-10,0.0531904788563252,0.94680952025369,0.99999999999986,1.21079066755185e-11,1.20018313108178e-11,0,0,0,1.11165250824599e-11,0,0,0,0
"21",20,6.34107628635350e-11,3.14917443442467e-11,0,0,0,3.07001786761094e-11,0,0,0,0,1.28624121158257e-09,0.0531904788281591,0.946809519759832,0.999999999999835,1.99823832553157e-11,1.98477380320882e-11,0,0,0,1.82739158786366e-11,0,0,0,0
"22",21,1.79998918609034e-09,8.94070158206208e-10,0,0,0,8.71192919984225e-10,0,0,0,0,3.6387081148015e-08,0.0531904767504712,0.946809483297012,0.999999999999817,5.67223483011661e-10,5.63489595508114e-10,0,0,0,5.18567214276325e-10,0,0,0,0
"23",22,2.66305593438541e-09,1.32282166351918e-09,0,0,0,1.28880493032985e-09,0,0,0,0,5.37821677646286e-08,0.0531904757205262,0.946809465222447,0.999999999999824,8.39198298650866e-10,8.33711132470069e-10,0,0,0,7.67145791863005e-10,0,0,0,0
"24",23,1.95670037653998e-09,9.71908707854334e-10,0,0,0,9.47043392973664e-10,0,0,0,0,3.95561420689264e-08,0.053190476562899,0.946809480005146,0.99999999999984,6.16607261514701e-10,6.12547504950211e-10,0,0,0,5.63716305341467e-10,0,0,0,0
"25",24,8.12420920377158e-10,4.0355511441862e-10,0,0,0,3.93175661268601e-10,0,0,0,0,1.6406782582784e-08,0.0531904779330331,0.946809504050881,0.999999999999849,2.56014995917172e-10,2.54341458667197e-10,0,0,0,2.340331317075e-10,0,0,0,0
